election_year,election_date,country,election_type,post_id,post_type,post_date,modified,days_from_election,title,url,categories,source,gate,match_score,match_reasons
2023,25/02/2023,Nigeria,Presidential,14237,post,23/03/2023,23/03/2023,26,nigeria 2023 census: all you need to know and why it matters,https://dubawa.org/nigeria-2023-census-all-you-need-to-know-and-why-it-matters/,120|1572|1574,window,window|country_title|body_kw|within_180|score_ok,3,title:nigeria; election:election
2023,25/02/2023,Nigeria,Presidential,14223,post,21/03/2023,21/03/2023,24,"no evidence police colluded with thugs, inec, to disrupt rivers state election",https://dubawa.org/no-evidence-police-colluded-with-thugs-inec-to-disrupt-rivers-state-election/,1571|3797,window,window|country_title|title_kw|within_180|score_ok,5,title:inec; body:irev; body:pdp; election:election|vote|ballot
2023,25/02/2023,Nigeria,Presidential,14213,post,21/03/2023,21/03/2023,24,doctored statement of inec’s presiding officer for abia state circulates whatsapp,https://dubawa.org/doctored-statement-of-inecs-presiding-officer-for-abia-state-circulates-whatsapp/,5|1571|3797,window,window|country_title|body_kw|within_180|score_ok,3,title:inec; election:election
2023,25/02/2023,Nigeria,Presidential,14210,post,21/03/2023,21/03/2023,24,true! inec collation officer in abia state brutalised by thugs,https://dubawa.org/true-inec-collation-officer-in-abia-state-brutalised-by-thugs/,5|1571|3797,window,window|country_title|body_kw|within_180|score_ok,5,body:nigeria; title:inec; body:pdp; election:election
2023,25/02/2023,Nigeria,Presidential,14208,post,21/03/2023,21/03/2023,24,enugu’s gubernatorial election suspended; no winner announced,https://dubawa.org/enugus-gubernatorial-election-suspended-no-winner-announced/,5|1571|3797,window,window|country_body|title_kw|within_180|score_ok,3,body:inec; body:labour party; election:election|candidate
2023,25/02/2023,Nigeria,Presidential,14201,post,21/03/2023,21/03/2023,24,picture of boy who committed suicide unrelated to 2023 elections,https://dubawa.org/picture-of-boy-who-committed-suicide-unrelated-to-2023-elections/,5|1571,window,window|country_body|title_kw|within_180|score_ok,5,body:nigeria; body:inec; body:tinubu; body:peter obi; election:election|poll|presidential
2023,25/02/2023,Nigeria,Presidential,14195,post,20/03/2023,20/03/2023,23,"true, lp supporters protest in enugu",https://dubawa.org/true-lp-supporters-protest-in-enugu/,1571|3797,window,window|country_body|body_kw|within_180|score_ok,3,body:inec; body:labour party; election:election|candidate
2023,25/02/2023,Nigeria,Presidential,14189,post,20/03/2023,20/03/2023,23,lessons sierra leone can learn from nigeria s elections,https://dubawa.org/lessons-sierra-leone-can-learn-from-nigerias-elections/,1572|1574|1268,window,window|country_title|title_kw|within_180|score_ok,5,title:nigeria; body:inec; body:irev; election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,14186,post,20/03/2023,20/03/2023,23,inec yet to announce enugu’s governor-elect,https://dubawa.org/inec-yet-to-announce-enugus-governor-elect/,1571|3797,window,window|country_title|body_kw|within_180|score_ok,5,body:nigeria; title:inec; body:pdp; election:election
2023,25/02/2023,Nigeria,Presidential,14181,post,20/03/2023,20/03/2023,23,pdp candidate muhammad adamu oyanki is 26 years old not 23,https://dubawa.org/pdp-candidate-muhammad-adamu-oyanki-is-26-years-old-not-23/,1571|3797,window,window|country_title|title_kw|within_180|score_ok,4,body:inec; title:pdp; election:candidate|election
