election_date,country,election_type,confirmed,Fact Check,Explainers,Analysis,News,Live Updates,Media Literacy,Article,Facebook Checks,Live fact-check,Special Reports,Research,Press Releases,no_editorial_category
25/02/2023,Nigeria,Presidential,122,82,12,1,0,51,24,2,15,0,0,4,2,1
24/06/2023,Sierra Leone,Presidential,49,30,6,0,2,18,10,0,0,0,0,3,2,2
10/10/2023,Liberia,Presidential,34,19,9,0,5,6,7,0,6,0,0,1,1,0
14/11/2023,Liberia,Presidential Run-off,81,61,8,0,3,38,2,1,28,0,1,1,0,3
24/03/2024,Senegal,Presidential,32,1,1,2,1,0,0,2,0,0,0,1,1,29
17/11/2024,Senegal,Parliamentary,31,17,0,0,0,13,2,0,1,0,0,0,1,13
07/12/2024,Ghana,Presidential and Parliamentary,142,122,11,1,5,0,0,1,11,71,0,0,4,2
22/04/2025,Liberia,Nimba County Senate By-election,60,48,8,0,0,0,4,0,1,0,0,0,0,5
21/09/2025,Guinea,Referendum,24,16,4,0,1,0,0,0,0,0,0,0,0,3
25/10/2025,Cote d'Ivoire,Presidential,69,50,10,0,2,6,5,0,6,0,0,0,1,2
23/11/2025,Guinée Bissau,Presidential (suspended - attempted coup),37,27,7,0,0,1,0,0,0,0,0,0,0,3
27/12/2025,Cote d'Ivoire,Parliamentary,22,12,8,0,0,0,0,1,1,0,0,0,0,3
28/12/2025,Guinea,Presidential,30,24,1,0,0,0,0,0,0,0,0,0,0,5
11/01/2026,Benin,Parliamentary,17,14,2,0,1,0,0,0,0,0,0,0,0,0
12/04/2026,Benin,Presidential,10,0,0,0,0,0,0,0,0,0,0,0,0,10
31/05/2026,Guinea,Parliamentary,22,8,1,0,0,0,3,0,4,0,0,0,0,10
TOTAL,,,782,531,88,4,20,133,57,7,73,71,1,10,12,91
